date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:36:38	4972/4972	---M-Z	200	added ('OK')	text/html	etag:%22136c-6273e2918b368-gzip%22	https://stackbros.in/darkone/auth-signin.html	C:/xampp/htdocs/test/sign/stackbros.in/darkone/auth-signin.html	(from )
12:36:38	275/275	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Jan%202025%2004:36:38%20GMT	https://stackbros.in/robots.txt		(from )
12:36:39	108549/108549	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%221a805-6273e2916bf66%22	https://stackbros.in/darkone/assets/images/favicon.ico	C:/xampp/htdocs/test/sign/stackbros.in/darkone/assets/images/favicon.ico	(from https://stackbros.in/darkone/auth-signin.html)
12:36:40	78170/78170	---M-Z	200	added ('OK')	text/css	etag:%221315a-6273e291680e6-gzip%22	https://stackbros.in/darkone/assets/css/vendor.min.css	C:/xampp/htdocs/test/sign/stackbros.in/darkone/assets/css/vendor.min.css	(from https://stackbros.in/darkone/auth-signin.html)
12:36:40	68227/68227	---M-Z	200	added ('OK')	text/css	etag:%2210a83-6273e29162326-gzip%22	https://stackbros.in/darkone/assets/css/icons.min.css	C:/xampp/htdocs/test/sign/stackbros.in/darkone/assets/css/icons.min.css	(from https://stackbros.in/darkone/auth-signin.html)
12:36:41	397748/397748	---M-Z	200	added ('OK')	text/css	etag:%22611b4-6273e29167146-gzip%22	https://stackbros.in/darkone/assets/css/style.min.css	C:/xampp/htdocs/test/sign/stackbros.in/darkone/assets/css/style.min.css	(from https://stackbros.in/darkone/auth-signin.html)
12:36:41	950/950	---M-Z	200	added ('OK')	text/javascript	etag:%223b6-6273e29170d87-gzip%22	https://stackbros.in/darkone/assets/js/config.js	C:/xampp/htdocs/test/sign/stackbros.in/darkone/assets/js/config.js	(from https://stackbros.in/darkone/auth-signin.html)
12:36:41	63098/63098	---M-Z	200	added ('OK')	text/html	etag:%22f67a-6273e2dd5ac66-gzip%22	https://stackbros.in/darkone/index.html	C:/xampp/htdocs/test/sign/stackbros.in/darkone/index.html	(from https://stackbros.in/darkone/auth-signin.html)
12:36:42	5772/5772	---M--	200	added ('OK')	image/png	etag:%22168c-6273e2916bf66%22	https://stackbros.in/darkone/assets/images/logo-dark.png	C:/xampp/htdocs/test/sign/stackbros.in/darkone/assets/images/logo-dark.png	(from https://stackbros.in/darkone/auth-signin.html)
12:36:42	5746/5746	---M--	200	added ('OK')	image/png	etag:%221672-6273e2916bf66%22	https://stackbros.in/darkone/assets/images/logo-light.png	C:/xampp/htdocs/test/sign/stackbros.in/darkone/assets/images/logo-light.png	(from https://stackbros.in/darkone/auth-signin.html)
12:36:42	4378/4378	---M-Z	200	added ('OK')	text/html	etag:%22111a-6273e2918b368-gzip%22	https://stackbros.in/darkone/auth-password.html	C:/xampp/htdocs/test/sign/stackbros.in/darkone/auth-password.html	(from https://stackbros.in/darkone/auth-signin.html)
12:36:43	5818/5818	---M-Z	200	added ('OK')	text/html	etag:%2216ba-6273e2918b368-gzip%22	https://stackbros.in/darkone/auth-signup.html	C:/xampp/htdocs/test/sign/stackbros.in/darkone/auth-signup.html	(from https://stackbros.in/darkone/auth-signin.html)
12:36:43	7410/7410	---M-Z	200	added ('OK')	text/javascript	etag:%221cf2-6273e29170d87-gzip%22	https://stackbros.in/darkone/assets/js/app.js	C:/xampp/htdocs/test/sign/stackbros.in/darkone/assets/js/app.js	(from https://stackbros.in/darkone/auth-signin.html)
12:36:45	1058153/1058153	---MCZ	200	added ('OK')	text/javascript	etag:%22102569-6273e29175ba7-gzip%22	https://stackbros.in/darkone/assets/js/vendor.min.js	C:/xampp/htdocs/test/sign/stackbros.in/darkone/assets/js/vendor.min.js	(from https://stackbros.in/darkone/auth-signin.html)
12:36:45	117788/117788	---M--	200	added ('OK')	font/woff2	etag:%221cc1c-6273e2916bf66%22	https://stackbros.in/darkone/assets/fonts/boxicons.woff2	C:/xampp/htdocs/test/sign/stackbros.in/darkone/assets/fonts/boxicons.woff2	(from https://stackbros.in/darkone/assets/css/icons.min.css)
12:36:46	404773/404773	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2262d25-6273e29169086%22	https://stackbros.in/darkone/assets/fonts/boxicons.eot	C:/xampp/htdocs/test/sign/stackbros.in/darkone/assets/fonts/boxicons.eot	(from https://stackbros.in/darkone/assets/css/icons.min.css)
